City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,sao cristovao,-11.0147,-37.2064,25.95,83,75,1.54,BR,1699500557
261,jiayuguan,39.8167,98.3,2.7,33,7,2.96,CN,1699500558
262,priozersk,61.0393,30.1291,3.89,87,93,1.34,RU,1699500559
263,general acha,-37.377,-64.6043,13.49,37,0,0.6,AR,1699500529
264,la'ie,21.6477,-157.9253,28.98,72,49,1.79,US,1699500561
265,nova sintra,14.8667,-24.7167,22.77,67,90,6.77,CV,1699500561
266,al awjam,26.5632,49.9433,19.05,77,0,3.09,SA,1699500562
267,mont-dore,-22.2833,166.5833,25.99,54,18,7.11,NC,1699500563
268,yuzhno-kurilsk,44.0306,145.8556,9.1,71,99,6.55,RU,1699500564
269,kalmunai,7.4167,81.8167,27.34,78,97,1.7,LK,1699500561
270,farafenni,13.5667,-15.6,23.53,35,84,2.44,GM,1699500566
271,karaton,-6.3424,106.1045,32.97,50,44,0.78,ID,1699500566
272,asadabad,34.7824,48.1185,2.97,54,0,0.78,IR,1699500567
273,hermanus,-34.4187,19.2345,13.13,78,0,3.51,ZA,1699500568
274,rio claro,-22.4114,-47.5614,23.16,46,36,2.37,BR,1699500569
275,manaure,11.7751,-72.4445,28.47,82,95,5.87,CO,1699500570
276,campbellton,48.0075,-66.6727,0.25,82,100,4.83,CA,1699500571
277,qina,26.1642,32.7267,24.47,34,0,2.37,EG,1699500572
278,lupane,-18.9315,27.807,19.8,72,22,3.09,ZW,1699500572
279,necochea,-38.5473,-58.7368,9.93,77,0,3.92,AR,1699500573
280,saint-pierre,-21.3393,55.4781,25.66,69,0,1.54,RE,1699500574
281,banfora,10.6333,-4.7667,25.7,57,94,1.66,BF,1699500575
282,smithers,54.7804,-127.1743,2.18,93,75,2.57,CA,1699500485
283,suva,-18.1416,178.4415,26.71,78,75,6.17,FJ,1699500576
284,ciprian porumbescu,47.5667,26.0667,7.1,86,98,2.27,RO,1699500577
285,el calafate,-50.3408,-72.2768,6.63,74,65,3.7,AR,1699500578
286,puerto san jose,13.9256,-90.8244,26.49,86,25,1.04,GT,1699500580
287,bandar abbas,27.1865,56.2808,20.99,83,0,2.06,IR,1699500581
288,castillos,-34.1667,-53.8333,12.19,83,18,1.29,UY,1699500581
289,crucecita,-28.95,-58.9833,22.69,91,2,5.01,AR,1699500582
290,nishon tumani,38.694,65.6751,8.14,93,1,1.03,UZ,1699500583
291,zhanaozen,43.3,52.8,8.18,74,69,3.91,KZ,1699500584
292,lobujya,27.95,86.8167,-6.91,37,3,1.42,NP,1699500585
293,lanxi,29.2195,119.477,21.16,60,100,0.74,CN,1699500586
294,fort mcmurray,56.7268,-111.381,-1.27,86,100,4.63,CA,1699500586
295,saint-philippe,-21.3585,55.7679,25.62,78,2,3.87,RE,1699500587
296,maringa,-23.4253,-51.9386,25.14,48,45,1.73,BR,1699500588
297,naze,28.3667,129.4833,25.51,64,100,4.77,JP,1699500589
298,barreiros,-8.8183,-35.1864,24.76,79,71,3.42,BR,1699500590
299,wenchang,30.904,118.4887,15.91,90,100,2.62,CN,1699500591
300,laibin,23.7,109.2667,27.29,74,46,4.49,CN,1699500591
301,susuman,62.7833,148.1667,-24.62,95,85,0.97,RU,1699500592
302,myrina,39.8797,25.0742,16.58,94,40,0.0,GR,1699500593
303,taguatinga,-12.3857,-46.5711,26.87,57,87,1.14,BR,1699500594
304,nizhnegorskiy,45.4479,34.7384,11.68,87,100,4.81,UA,1699500595
305,ashti,19.3833,76.2333,24.73,50,61,3.69,IN,1699500596
306,barra dos coqueiros,-10.9089,-37.0386,26.01,83,75,1.54,BR,1699500445
307,cukai,4.25,103.4167,30.97,76,100,0.8,MY,1699500597
308,lerwick,60.1545,-1.1494,8.0,75,34,7.62,GB,1699500598
309,arish,31.1316,33.7984,21.72,80,0,1.8,EG,1699500597
310,kaduna,10.5222,7.4383,21.6,30,99,1.46,NG,1699500599
311,mildura,-34.2,142.15,30.6,28,0,3.27,AU,1699500600
312,olds,51.7834,-114.102,1.08,74,100,3.09,CA,1699500601
313,pandan,14.0453,124.1694,30.09,68,50,4.21,PH,1699500603
314,palmer,42.1584,-72.3287,3.68,70,75,0.0,US,1699500604
315,fang,19.9169,99.2145,29.29,63,32,0.71,TH,1699500606
316,nemuro,43.3236,145.575,10.61,68,94,8.38,JP,1699500607
317,whakatane,-37.9585,176.9854,18.82,72,59,1.34,NZ,1699500608
318,ayame,5.6083,-3.1563,23.51,97,99,1.12,CI,1699500609
319,berezovyy,51.6667,135.7,-3.06,63,99,0.86,RU,1699500610
320,madimba,-10.4,40.3333,26.34,77,55,1.96,TZ,1699500611
321,chonchi,-42.6128,-73.8092,7.56,96,94,0.98,CL,1699500564
322,taroudant,30.4703,-8.877,19.27,25,78,2.81,MA,1699500613
323,saint-joseph,-21.3667,55.6167,25.06,74,10,2.26,RE,1699500614
324,vila franca do campo,37.7167,-25.4333,20.49,99,100,4.54,PT,1699500615
325,bardai,11.65,7.2333,21.92,24,89,3.43,NG,1699500616
326,zhezqazghan,47.7833,67.7667,4.32,93,100,7.0,KZ,1699500617
327,vite,17.2833,74.55,25.04,67,95,4.78,IN,1699500618
328,dwarka,22.2394,68.9678,29.28,48,12,3.99,IN,1699500619
329,nong phai,15.9903,101.0618,29.81,72,31,0.99,TH,1699500620
330,nishinoomote,30.7333,131.0,21.31,88,75,1.54,JP,1699500621
331,taroa,8.7058,171.2275,28.07,81,100,9.82,MH,1699500622
332,coquimbo,-29.9533,-71.3436,14.85,88,20,3.6,CL,1699500604
333,santa rosa de rio primero,-31.1523,-63.4019,17.05,36,0,3.59,AR,1699500624
334,sarangani,5.4033,125.4636,28.69,77,41,8.76,PH,1699500625
335,oyama,36.3,139.8,19.94,43,22,1.6,JP,1699500626
336,georgetown,5.4112,100.3354,30.96,77,40,1.54,MY,1699500613
337,votuporanga,-20.4228,-49.9728,26.06,42,39,3.11,BR,1699500628
338,kollam,8.8833,76.6,26.33,82,100,2.08,IN,1699500629
339,taulaga,-11.0553,-171.0883,28.53,70,100,3.03,AS,1699500630
340,lannemezan,43.1252,0.384,7.55,94,98,0.42,FR,1699500631
341,champagnole,46.7445,5.9135,8.76,64,100,6.48,FR,1699500632
342,qaqortoq,60.7167,-46.0333,0.38,96,100,1.66,GL,1699500633
343,hodos,46.8233,16.3342,4.54,94,2,2.16,SI,1699500634
344,odda,60.0691,6.5457,2.55,95,100,2.95,NO,1699500635
345,tual,-5.6667,132.75,27.48,76,19,2.13,ID,1699500636
346,usinsk,65.9939,57.5281,1.71,100,100,5.36,RU,1699500637
347,klaksvik,62.2266,-6.589,7.51,90,99,10.07,FO,1699500638
348,santa catalina,9.3337,122.8637,30.99,67,84,2.47,PH,1699500639
349,kidal,18.4411,1.4078,23.22,15,35,1.18,ML,1699500639
350,bratsk,56.1325,101.6142,-12.73,75,73,1.83,RU,1699500640
351,rabo de peixe,37.8,-25.5833,19.99,99,75,5.66,PT,1699500641
352,haiku-pauwela,20.9219,-156.3051,27.01,64,40,4.63,US,1699500520
353,kavieng,-2.5744,150.7967,29.04,77,99,7.19,PG,1699500643
354,san rafael del yuma,18.4299,-68.6739,26.76,91,33,4.15,DO,1699500644
355,bethanie,-26.4833,17.15,17.18,33,0,0.87,NA,1699500645
356,st. john's,47.5649,-52.7093,7.38,99,100,2.06,CA,1699500381
357,kasane,-17.8167,25.15,22.58,59,9,2.0,BW,1699500646
358,mugia,43.1041,-9.2179,12.73,75,59,6.31,ES,1699500647
359,aykhal,66.0,111.5,-17.03,85,76,6.12,RU,1699500570
360,santander,43.4647,-3.8044,11.92,87,75,4.12,ES,1699500649
361,talcahuano,-36.7167,-73.1167,11.82,87,0,4.12,CL,1699500649
362,markovo,57.3206,107.0881,-9.98,77,96,2.33,RU,1699500650
